ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,176.46,-0.35,724764,955813.0,0.76,176.074,174.234,161.432,57.2,1.52,182.26,140.78,182.26,164.26,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
AIR.PA,Airbus,Aéronautique,194.32,-0.66,976991,1090658.0,0.9,196.379,194.845,183.813,52.2,2.21,221.3,157.42,210.95,187.12,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-17
ALO.PA,Alstom,Industrie,15.7,-1.29,1178063,1711221.0,0.69,15.638,15.753,20.206,46.6,2.82,30.23,14.72,16.87,14.93,,,0,EMA200 > EMA20 > Prix > EMA9,2026-07-17
MT.AS,ArcelorMittal,Matériaux,57.98,0.07,2978244,1990981.0,1.5,57.351,56.655,47.343,55.0,3.62,62.6,26.35,59.64,51.24,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
CS.PA,AXA,Assurance,44.8,0.67,2634313,2881968.0,0.91,44.266,43.665,40.529,71.3,1.24,44.8,36.55,44.8,42.27,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
BNP.PA,BNP Paribas,Banque,101.94,-0.97,1604730,1794114.0,0.89,101.793,100.876,88.433,56.7,1.83,103.6,65.12,103.6,97.31,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
EN.PA,Bouygues,BTP/Télécom,47.78,0.17,582595,910251.0,0.64,47.586,48.046,46.725,45.6,1.75,53.48,35.39,50.56,45.7,,,0,EMA20 > Prix > EMA9 > EMA200,2026-07-17
CAP.PA,Capgemini,Technologie,91.32,0.11,634070,681330.0,0.93,91.194,91.848,111.735,46.9,3.57,153.05,86.2,95.3,86.52,,,0,EMA200 > EMA20 > Prix > EMA9,2026-07-17
CA.PA,Carrefour,Distribution,16.78,1.51,2128888,2285403.0,0.93,16.507,16.399,15.338,57.5,1.86,17.53,11.94,16.88,15.62,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
ACA.PA,Crédit Agricole,Banque,17.78,-0.75,3766906,4523306.0,0.83,17.699,17.559,16.98,57.7,1.52,19.15,15.29,17.95,16.97,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
BN.PA,Danone,Agroalimentaire,72.98,0.3,1136216,1617353.0,0.7,72.403,71.274,69.659,63.8,1.48,80.14,60.64,74.68,64.68,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
DSY.PA,Dassault Systèmes,Technologie,17.89,-2.08,2590904,1895147.0,1.37,18.243,18.252,21.351,44.6,3.15,33.16,15.82,18.94,16.89,baissier,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-17
EDEN.PA,Edenred,Services,26.55,0.99,1096999,889262.0,1.23,25.0,23.969,21.69,73.6,2.99,27.54,15.23,26.56,21.81,,haussière,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
ENGI.PA,Engie,Énergie,26.86,0.79,2218817,2723606.0,0.81,27.005,27.056,25.077,47.5,1.91,29.89,17.2,27.81,26.43,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-17
EL.PA,EssilorLuxottica,Santé/Optique,166.7,-1.65,608531,699305.0,0.87,168.998,170.44,213.679,43.7,2.73,323.8,160.6,177.95,160.6,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-17
ERF.PA,Eurofins Scientific,Santé,70.28,1.12,272834,251155.0,1.09,69.191,68.079,63.583,66.2,2.06,74.32,54.86,70.84,62.16,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
RMS.PA,Hermès,Luxe,1681.0,-1.47,66887,82127.0,0.81,1661.305,1649.669,1856.574,54.8,2.6,2421.0,1529.0,1726.0,1564.0,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-17
KER.PA,Kering,Luxe,252.3,-1.21,246409,290424.0,0.85,251.096,252.552,258.245,49.5,3.19,354.2,206.1,273.4,238.75,,,0,EMA200 > EMA20 > Prix > EMA9,2026-07-17
OR.PA,L'Oréal,Cosmétiques,381.75,0.1,312434,408700.0,0.76,381.16,381.41,373.223,51.1,1.98,408.35,338.85,393.5,369.45,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-17
LR.PA,Legrand,Industrie,135.4,-1.67,793563,596418.0,1.33,139.774,141.789,138.778,36.9,2.71,166.95,121.95,155.25,133.3,,,0,EMA20 > EMA9 > EMA200 > Prix,2026-07-17
MC.PA,LVMH,Luxe,495.1,-1.59,403029,517733.0,0.78,493.679,492.202,515.801,52.2,2.44,654.7,440.0,503.8,471.35,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-17
ML.PA,Michelin,Industrie,35.12,-0.14,1607044,1517928.0,1.06,34.704,34.252,31.689,62.7,1.77,35.72,25.51,35.72,32.43,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-17
ORA.PA,Orange,Télécom,16.47,2.27,6362259,4923512.0,1.29,16.232,16.41,16.124,48.0,2.0,18.81,12.9,17.18,15.62,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-17
RI.PA,Pernod Ricard,Boissons,65.24,-1.24,703674,726427.0,0.97,64.581,64.267,72.615,54.2,2.8,107.45,58.6,67.06,61.4,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-17
PUB.PA,Publicis,Communication,87.7,-4.03,835198,700977.0,1.19,87.937,87.414,83.372,51.6,2.78,92.78,68.14,92.26,81.52,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-17
RNO.PA,Renault,Automobile,26.14,-2.79,1199250,1493453.0,0.8,26.228,26.366,31.078,46.8,2.94,37.97,24.66,28.14,24.66,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-17
SAF.PA,Safran,Aéronautique,329.5,0.12,602367,685666.0,0.88,333.439,332.732,302.408,49.8,2.32,360.8,262.6,360.8,322.1,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-17
SGO.PA,Saint-Gobain,Matériaux,75.98,-0.84,882909,1040560.0,0.85,76.342,76.955,80.993,46.5,2.45,104.65,65.88,82.42,73.66,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-17
SAN.PA,Sanofi,Santé,77.34,0.52,2178678,2473005.0,0.88,76.325,75.797,79.739,57.0,2.2,91.15,71.25,78.42,71.25,,,0,EMA200 > Prix > EMA9 > EMA20,2026-07-17
SU.PA,Schneider Electric,Industrie,262.45,-0.72,999536,876279.0,1.14,268.673,271.772,256.085,41.0,2.61,293.7,208.8,293.7,257.15,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-17
