ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,cassure_20j,score_tendance,configuration_tendance,date
AI.PA,Air Liquide,Industrie,175.44,-1.54,197432,1056536.0,0.19,175.768,173.525,172.286,54.5,1.68,189.8,154.86,182.26,164.16,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-08
AIR.PA,Airbus,Aéronautique,198.28,-2.78,376380,1243684.0,0.3,200.05,194.147,182.979,58.5,2.37,221.3,157.42,210.95,174.38,,,4,EMA9 > Prix > EMA20 > EMA200,2026-07-08
ALO.PA,Alstom,Industrie,15.47,-2.27,331627,2041093.0,0.16,15.691,15.905,20.533,39.9,2.74,30.23,14.72,16.87,14.93,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-08
MT.AS,ArcelorMittal,Matériaux,54.66,-2.6,660007,2318113.0,0.28,55.336,55.573,46.602,47.4,3.65,62.6,26.35,62.58,51.24,,,2,EMA20 > EMA9 > Prix > EMA200,2026-07-08
CS.PA,AXA,Assurance,43.99,-0.7,846963,3549857.0,0.24,43.721,42.945,40.252,68.9,1.24,44.54,36.55,44.54,40.28,,,7,Prix > EMA9 > EMA20 > EMA200,2026-07-08
BNP.PA,BNP Paribas,Banque,98.35,-3.37,765831,2025384.0,0.38,101.194,99.965,87.474,48.1,1.71,103.6,65.12,103.6,91.51,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-08
EN.PA,Bouygues,BTP/Télécom,46.06,-1.9,143843,935708.0,0.15,47.816,48.675,46.676,29.6,1.77,53.48,35.39,51.1,45.7,,baissière,0,EMA20 > EMA9 > EMA200 > Prix,2026-07-08
CAP.PA,Capgemini,Technologie,90.9,-3.11,127229,763877.0,0.17,91.593,92.798,113.232,43.5,3.03,153.05,86.2,100.0,86.2,,,-7,EMA200 > EMA20 > EMA9 > Prix,2026-07-08
CA.PA,Carrefour,Distribution,16.35,-0.97,283126,2688552.0,0.11,16.217,16.229,15.248,51.4,1.85,17.53,11.94,16.8,15.24,,,4,Prix > EMA20 > EMA9 > EMA200,2026-07-08
ACA.PA,Crédit Agricole,Banque,17.17,-2.44,2031941,5475224.0,0.37,17.529,17.401,16.928,46.5,1.44,19.15,15.29,17.94,16.22,,,0,EMA9 > EMA20 > Prix > EMA200,2026-07-08
